name,teryt,powiat_easting,powiat_northing,hexagon_easting,hexagon_northing
Gdańsk,2261,485347.51736464544,728107.6688963313,528543.0371855691,728439.5833956514
poznański,3021,360114.5515544532,504966.5098316756,290632.7084991896,522403.1949305413
poznański,3021,360114.5515544532,504966.5098316756,350110.2906707844,510956.72890470177
poznański,3021,360114.5515544532,504966.5098316756,310458.5692230545,533849.6609563807
poznański,3021,360114.5515544532,504966.5098316756,369936.15139464935,545296.1269822201
poznański,3021,360114.5515544532,504966.5098316756,330284.4299469194,545296.1269822201
poznański,3021,360114.5515544532,504966.5098316756,350110.2906707844,556742.5930080597
poznański,3021,360114.5515544532,504966.5098316756,350110.2906707844,533849.6609563807
poznański,3021,360114.5515544532,504966.5098316756,350110.2906707844,579635.5250597384
poznański,3021,360114.5515544532,504966.5098316756,330284.4299469194,522403.1949305413
Szczecin,3262,208782.0222235405,627484.4791318111,211329.26560372987,636867.8551889359
Szczecin,3262,208782.0222235405,627484.4791318111,250980.98705145976,636867.8551889359
Szczecin,3262,208782.0222235405,627484.4791318111,191503.4048798649,648314.3212147753
Szczecin,3262,208782.0222235405,627484.4791318111,231155.1263275948,648314.3212147753
Szczecin,3262,208782.0222235405,627484.4791318111,211329.26560372987,659760.7872406148
Szczecin,3262,208782.0222235405,627484.4791318111,250980.98705145976,659760.7872406146
Szczecin,3262,208782.0222235405,627484.4791318111,231155.1263275948,671207.2532664542
Szczecin,3262,208782.0222235405,627484.4791318111,211329.26560372987,682653.7192922937
Bydgoszcz,461,436631.77498953725,585527.6754635335,429413.7335662441,625421.3891630962
Bydgoszcz,461,436631.77498953725,585527.6754635335,409587.8728423792,613974.9231372568
Bydgoszcz,461,436631.77498953725,585527.6754635335,389762.0121185142,625421.3891630962
Bydgoszcz,461,436631.77498953725,585527.6754635335,429413.7335662441,648314.3212147752
Bydgoszcz,461,436631.77498953725,585527.6754635335,449239.59429010906,613974.9231372568
Bydgoszcz,461,436631.77498953725,585527.6754635335,409587.8728423792,636867.8551889358
Bydgoszcz,461,436631.77498953725,585527.6754635335,449239.59429010906,636867.8551889358
Lublin,663,748243.2973831322,379235.0321134253,806105.087319678,407938.53467214666
Lublin,663,748243.2973831322,379235.0321134253,806105.087319678,430831.46672382567
Lublin,663,748243.2973831322,379235.0321134253,786279.2265958131,419385.00069798616
Lublin,663,748243.2973831322,379235.0321134253,766453.3658719482,430831.46672382567
Lublin,663,748243.2973831322,379235.0321134253,806105.087319678,453724.3987755046
Lublin,663,748243.2973831322,379235.0321134253,786279.2265958131,442277.932749665
Lublin,663,748243.2973831322,379235.0321134253,766453.3658719482,407938.53467214666
krakowski,1206,561571.825095079,251545.471553328,588020.6193571637,282027.4083879128
krakowski,1206,561571.825095079,251545.471553328,568194.7586332987,270580.94236207334
krakowski,1206,561571.825095079,251545.471553328,588020.6193571637,304920.34043959173
krakowski,1206,561571.825095079,251545.471553328,568194.7586332987,293473.87441375235
krakowski,1206,561571.825095079,251545.471553328,568194.7586332987,316366.8064654312
krakowski,1206,561571.825095079,251545.471553328,607846.4800810287,316366.8064654312
Katowice,2469,501650.1462661501,261200.78757565568,488891.315737839,270580.94236207334
Katowice,2469,501650.1462661501,261200.78757565568,508717.1764617039,304920.34043959173
Katowice,2469,501650.1462661501,261200.78757565568,488891.315737839,316366.80646543123
Katowice,2469,501650.1462661501,261200.78757565568,469065.455013974,282027.40838791284
Katowice,2469,501650.1462661501,261200.78757565568,488891.315737839,293473.8744137523
Katowice,2469,501650.1462661501,261200.78757565568,508717.1764617039,282027.40838791284
Białystok,2061,778095.5056175085,593292.0312975277,786279.2265958131,671207.253266454
Białystok,2061,778095.5056175085,593292.0312975277,806105.087319678,636867.8551889356
Białystok,2061,778095.5056175085,593292.0312975277,806105.087319678,659760.7872406146
Białystok,2061,778095.5056175085,593292.0312975277,786279.2265958131,625421.3891630962
Białystok,2061,778095.5056175085,593292.0312975277,766453.3658719482,636867.8551889356
Białystok,2061,778095.5056175085,593292.0312975277,786279.2265958131,648314.3212147752
wołomiński,1434,661078.8377894952,506879.0783790575,746627.5051480833,579635.5250597384
wołomiński,1434,661078.8377894952,506879.0783790575,706975.7837003535,602528.4571114173
wołomiński,1434,661078.8377894952,506879.0783790575,726801.6444242181,613974.9231372569
wołomiński,1434,661078.8377894952,506879.0783790575,746627.5051480833,556742.5930080597
wołomiński,1434,661078.8377894952,506879.0783790575,726801.6444242181,591081.991085578
Gdynia,2262,475236.8554859937,740602.6067343109,449239.59429010906,751332.5154473301
Gdynia,2262,475236.8554859937,740602.6067343109,449239.59429010906,774225.4474990093
Gdynia,2262,475236.8554859937,740602.6067343109,429413.7335662441,739886.0494214908
Gdynia,2262,475236.8554859937,740602.6067343109,449239.59429010906,728439.5833956513
Gdynia,2262,475236.8554859937,740602.6067343109,469065.455013974,762778.9814731696
wejherowski,2215,439309.2128090007,748200.1785135571,409587.8728423792,751332.5154473301
wejherowski,2215,439309.2128090007,748200.1785135571,409587.8728423792,774225.4474990093
wejherowski,2215,439309.2128090007,748200.1785135571,409587.8728423792,728439.5833956513
