teryt,name,area,population
3212,pyrzycki,72605,37131
3213,sławieński,104317,53786
3214,stargardzki,151995,119190
3215,szczecinecki,176550,73761
3216,świdwiński,109313,44061
3217,wałecki,141512,50729
3218,łobeski,106510,34094
3261,Koszalin,9834,104891
3262,Szczecin,30062,394482
3263,Świnoujście,20211,39834
